id_venda,data,ano,mes,produto,categoria,regiao,canal_venda,tipo_cliente,vendedor,quantidade,preco_unitario,desconto_pct,receita_liquida,custo_total,lucro,status
1,2024-04-12,2024,4,Tablet 10,Eletrônicos,Nordeste,Loja Física,Pessoa Jurídica,Bruno,4,1596.93,0.0,6387.73,5099.14,1288.6,Concluída
2,2025-10-25,2025,10,Notebook Pro 14,Eletrônicos,Centro-Oeste,Loja Física,Pessoa Jurídica,Eduarda,10,3780.72,0.15,32136.12,34844.61,-2708.49,Concluída
3,2024-09-09,2024,9,Teclado Mecânico,Acessórios,Sudeste,E-commerce,Pessoa Jurídica,Diego,2,337.5,0.03,654.74,453.0,201.74,Concluída
4,2025-07-16,2025,7,Monitor 27,Eletrônicos,Sudeste,Inside Sales,Pessoa Física,Bruno,3,1364.57,0.03,0.0,2968.14,0.0,Cancelada
5,2024-01-14,2024,1,Tablet 10,Eletrônicos,Nordeste,E-commerce,Pessoa Física,Bruno,2,1594.93,0.0,3189.87,2558.77,631.1,Concluída
6,2024-07-24,2024,7,Webcam Full HD,Acessórios,Sudeste,Loja Física,Pessoa Jurídica,Gabriela,3,245.89,0.05,700.8,460.93,239.86,Concluída
7,2025-07-09,2025,7,Notebook Pro 14,Eletrônicos,Norte,Representante,Pessoa Jurídica,Ana,10,3861.77,0.0,38617.67,32873.76,5743.91,Concluída
8,2025-12-20,2025,12,Smartphone X,Eletrônicos,Nordeste,E-commerce,Pessoa Jurídica,Diego,10,2893.93,0.0,28939.33,21395.06,7544.27,Concluída
9,2025-06-04,2025,6,Teclado Mecânico,Acessórios,Nordeste,Loja Física,Pessoa Física,Ana,2,369.43,0.05,701.91,467.34,234.57,Concluída
10,2024-08-18,2024,8,Impressora Laser,Escritório,Centro-Oeste,Inside Sales,Pessoa Jurídica,Diego,3,1013.09,0.03,2948.09,2651.02,297.07,Concluída
11,2025-11-14,2025,11,HD Externo 1TB,Acessórios,Centro-Oeste,Representante,Pessoa Física,Gabriela,1,443.9,0.08,408.39,295.8,112.59,Concluída
12,2025-01-27,2025,1,Teclado Mecânico,Acessórios,Centro-Oeste,Loja Física,Pessoa Física,Henrique,1,383.97,0.03,372.45,228.94,143.52,Concluída
13,2025-04-29,2025,4,Webcam Full HD,Acessórios,Sudeste,E-commerce,Pessoa Jurídica,Eduarda,2,238.4,0.0,0.0,311.48,0.0,Cancelada
14,2025-07-10,2025,7,Notebook Pro 14,Eletrônicos,Sudeste,Loja Física,Pessoa Física,Carla,1,4164.86,0.1,3748.37,3383.5,364.87,Concluída
15,2025-04-17,2025,4,HD Externo 1TB,Acessórios,Sudeste,Loja Física,Pessoa Física,Gabriela,1,453.58,0.1,408.23,279.5,128.72,Concluída
16,2025-10-10,2025,10,Headset Gamer,Acessórios,Sudeste,Marketplace,Pessoa Física,Eduarda,1,393.55,0.0,393.55,287.26,106.29,Concluída
17,2025-05-11,2025,5,Monitor 27,Eletrônicos,Sudeste,Loja Física,Pessoa Jurídica,Diego,5,1212.35,0.15,0.0,5078.73,0.0,Devolvida
18,2024-08-07,2024,8,Headset Gamer,Acessórios,Sul,E-commerce,Pessoa Jurídica,Bruno,2,391.39,0.03,759.29,598.94,160.35,Concluída
19,2025-03-14,2025,3,Smartphone X,Eletrônicos,Nordeste,Loja Física,Pessoa Jurídica,Gabriela,3,2909.5,0.05,8292.08,6575.44,1716.64,Concluída
20,2025-08-31,2025,8,Smartphone X,Eletrônicos,Sul,E-commerce,Pessoa Jurídica,Felipe,8,2720.79,0.0,21766.33,17840.92,3925.41,Concluída
21,2024-05-27,2024,5,Headset Gamer,Acessórios,Centro-Oeste,Loja Física,Pessoa Jurídica,Eduarda,3,464.55,0.0,1393.66,843.18,550.48,Concluída
22,2024-05-30,2024,5,Notebook Pro 14,Eletrônicos,Sudeste,Marketplace,Pessoa Física,Henrique,1,4687.52,0.03,0.0,3361.63,0.0,Devolvida
23,2024-09-10,2024,9,Impressora Laser,Escritório,Nordeste,Inside Sales,Pessoa Jurídica,Bruno,3,1074.51,0.05,3062.35,2710.53,351.82,Concluída
24,2024-04-29,2024,4,Cadeira Ergonômica,Móveis,Nordeste,Representante,Pessoa Jurídica,Bruno,6,994.82,0.05,0.0,4220.4,0.0,Cancelada
25,2024-06-01,2024,6,Impressora Laser,Escritório,Sul,Loja Física,Pessoa Física,Eduarda,2,1147.77,0.0,2295.55,1774.88,520.67,Concluída
26,2024-10-03,2024,10,Tablet 10,Eletrônicos,Sul,E-commerce,Pessoa Jurídica,Felipe,5,1548.44,0.03,7509.92,6405.64,1104.28,Concluída
27,2024-01-22,2024,1,Webcam Full HD,Acessórios,Sudeste,Inside Sales,Pessoa Física,Diego,3,270.1,0.08,745.48,483.73,261.75,Concluída
28,2025-04-25,2025,4,HD Externo 1TB,Acessórios,Sul,Marketplace,Pessoa Física,Bruno,1,437.64,0.0,0.0,306.95,0.0,Cancelada
29,2025-01-07,2025,1,Notebook Pro 14,Eletrônicos,Nordeste,Marketplace,Pessoa Jurídica,Diego,3,4290.75,0.05,12228.65,10828.28,1400.37,Concluída
30,2024-09-09,2024,9,Mouse Sem Fio,Acessórios,Sudeste,Representante,Pessoa Física,Bruno,1,184.05,0.1,165.64,110.12,55.53,Concluída
31,2025-09-17,2025,9,Teclado Mecânico,Acessórios,Sudeste,Inside Sales,Pessoa Física,Bruno,1,382.56,0.08,351.95,231.98,119.97,Concluída
32,2024-06-24,2024,6,Cadeira Ergonômica,Móveis,Sudeste,E-commerce,Pessoa Física,Eduarda,1,982.81,0.0,982.81,677.24,305.56,Concluída
33,2024-01-20,2024,1,Mesa Office,Móveis,Centro-Oeste,Marketplace,Pessoa Jurídica,Felipe,8,760.0,0.03,5897.6,4609.72,1287.88,Concluída
34,2024-02-20,2024,2,Monitor 27,Eletrônicos,Sudeste,E-commerce,Pessoa Física,Felipe,2,1178.72,0.0,2357.45,2147.1,210.35,Concluída
35,2025-03-19,2025,3,Headset Gamer,Acessórios,Sudeste,Representante,Pessoa Física,Diego,4,420.25,0.08,1546.52,1107.49,439.04,Concluída
